i     area
50    406.67459
50    406.59417
50    395.09089
200   418.2094
200   410.94768
200   403.98343
400   412.51202
400   403.92747
400   398.68851
600   407.72456
600   406.31071
600   406.56267
800   412.0851
800   408.59595
800   404.67286
1000  423.08788
1000  425.96112
1000  418.40192
1100  428.0889
1100  423.59185
1100  422.93739
1200  427.85795
1200  427.85443
1200  413.33444
1300  424.14126
1300  436.50202
1300  421.4291
1400  425.24364
1400  424.75374
1400  433.17386
1500  418.68889
1500  430.52464
1500  419.20684
1550  428.0924
1550  436.87649
1550  434.18873
1650  433.19136
1650  434.58423
1650  433.20883
1700  439.79519
1700  437.66042
1700  440.03311
1750  438.05581
1750  439.01119
1750  435.81954
1800  447.00792
1800  445.08309
1800  449.7971
1850  442.43386
1850  446.33594
1850  439.85461
1900  451.74292
1900  453.7832
1900  459.1446
1950  467.01879
1950  458.52517
1950  452.41136
